Region,Δ Accuracy,Δ AUC,Δ Precision,Δ Recall,Δ F1,Δ Val Loss
91,-0.008783783783783698,-0.021918698533005366,-0.026689485420568572,0.1355040248975317,0.04561838970718892,0.06882334762921796
90,-0.0005030030030029057,-0.011497267105373158,-0.029487887118566678,0.1580978295677177,0.05710463005142646,0.06885875067492055
58,-0.1512762762762762,-0.008115917456668452,0.06269615168070546,-0.570498719046198,-0.45078171729309324,0.06960539938133647
96,-0.060082582582582617,-0.01598055284709184,0.07039876034333492,-0.2681394486965559,-0.23853581237190633,0.07010866572593623
98,-0.03466216216216215,-0.0027684503817367078,0.023398052045443242,-0.1244163243639966,-0.13498738060139986,0.07025826056576864
97,-0.056441441441441226,-0.01885089917423374,0.07039826038163867,-0.22615138522891676,-0.20577374937970655,0.07119723470564998
3,0.0035060060060060545,-0.011728334396510056,-0.04430040618502153,0.13198458908964517,0.030379695700694764,0.07151322301169873
23,-0.1419819819819818,-0.01589442451834447,0.08662316848014769,-0.5814385817318296,-0.4384736783695902,0.07278376890756365
89,0.005960960960961373,-0.017524571570953787,-0.02326198615674541,0.17231571973871657,0.06425567962449803,0.0734421535441647
57,-0.1624099099099097,-0.003898891803219335,0.07438326811981952,-0.57762738302832,-0.43785138594292394,0.07417780286710962
99,-0.02607357357357356,-0.0268048790946135,0.012044827975101056,-0.06211735289167724,-0.07078005826961463,0.07537051128046907
100,-0.016336336336336025,-0.00917789018495304,0.0006124077758869988,0.008418281841623796,-0.02097678212370535,0.07581768942495433
6,0.02797297297297306,-0.004612692889952349,-0.0317309956413898,0.246700987513992,0.09895900380423668,0.07854460392869168
52,-0.1483708708708709,-0.013790943071614837,-0.02841891773807552,-0.5461287219669922,-0.41617980074522,0.08079907615858997
32,0.005998498498498685,-0.010724649471050382,-0.012005288252668238,0.15158167371004388,0.056646314029185824,0.081069295929884
16,-0.016659159159158856,-0.004454766090229605,-0.023761236851471728,0.08473977622689019,0.005903719697448518,0.08304678599943736
102,0.03156156156156172,-0.006983788592589894,-0.01763486223525214,0.19487489848438594,0.08747643022785688,0.08541785237299505
101,-0.0036936936936935514,-0.019554211143165034,-0.01684576049048424,0.09008094378087352,0.027113877402861173,0.08783332275356368
31,0.007807807807807961,-0.008093669724112847,-0.025448386055011703,0.17182273048666025,0.06675302079556518,0.08995415442604192
40,0.010322822822822866,-0.01175659764084202,-0.03152831170346073,0.22145334463937283,0.0808927365987139,0.09288294520886806
20,-0.13047297297297286,-0.015941302369171535,-0.012963250603320988,-0.500218402943126,-0.36678745133117163,0.0936217521236889
26,0.05213213213213208,-0.028195371244059526,-0.02214446269540106,0.2578927072475903,0.11578834911835502,0.10320343709185972
7,0.03736486486486493,-0.0055377767088798276,-0.03511725571434307,0.2863462669226081,0.114962062194536,0.10350622647717855
15,0.008836336336336422,-0.0001023420170822648,-0.02707002472900092,0.1871315511033594,0.06000270820108082,0.11024674404922462
11,0.05720720720720738,0.0009413311947069242,-0.029772753053948296,0.31189732354365546,0.1323344979464574,0.11128374355409652
2,0.032289789789790004,-0.019444729331963593,-0.04346242698942509,0.23057656693336362,0.07215158093883392,0.11513793617783541
10,0.048926426426426584,0.00448439376274147,-0.035027603634873,0.3167345918003199,0.12993499578328832,0.11971829346867473
1,0.04165165165165198,-0.007184797278899358,-0.037602056913777965,0.2649647804208598,0.09261879809436421,0.12276303007476431
21,-0.1650525525525524,-0.011675615722463843,0.010703558553126494,-0.6117862229160651,-0.4644113001577226,0.12371973543803884
12,0.0514489489489491,-0.0009249658454260529,-0.027809947369582484,0.2952528473702853,0.1229236584652813,0.1267191821123879
8,0.053273273273273414,0.0024677094004719687,-0.034980253964905915,0.33803451561183684,0.13639662407415773,0.1322355587635036
22,-0.19027027027027035,-0.023363117602824373,0.022138425831108085,-0.6797682302310485,-0.5409700571806235,0.13259250751089993
30,0.029451951951952077,-0.016194765330997552,-0.03169831668851384,0.2647477479679874,0.10633388947346893,0.136121989203787
9,0.04891141141141136,-0.007347382600675442,-0.03976255631137363,0.34262746283328105,0.1360369993401461,0.14495679295272976
14,0.034782282282282445,0.004568367969302226,-0.023569574032462088,0.26958473337162625,0.1011615403269663,0.1473062738211689
13,0.036313813813814,-0.003968648208465389,-0.03314373754663766,0.28051551445476647,0.10834080879447641,0.14801823144629594
41,0.029819819819820025,-0.003411768478641247,-0.03897252603904765,0.30522514056953537,0.11416699505688561,0.15083979733348743
47,-0.009376876876876827,-0.025717604881553953,-0.0424873912076208,0.21259786293764021,0.0740505174453206,0.15225736854803473
46,0.01762762762762773,-0.017404294346142064,-0.03430354211903231,0.2797738906588532,0.10609547804481767,0.18367788388926198
29,0.04199699699699709,-0.02384844613122559,-0.04066083627504245,0.3275290646636362,0.12917517264392533,0.1933929242896523
27,0.07304804804804829,-0.014608927247409417,-0.03433374039046985,0.3776595676618449,0.15475785771828218,0.19790481080025035
45,0.032364864864865193,-0.005715130361997524,-0.03375046419776261,0.3065064883453443,0.11920371143905781,0.19936206703002662
28,0.06840840840840852,-0.00721966303269638,-0.03633703954358333,0.3806157016697958,0.15410256311150866,0.21747015974813616
43,0.044316816816817074,-0.006647751927269257,-0.038100327048237945,0.34958330361692896,0.13503995625125959,0.22063521494581415
42,0.03171171171171191,-0.020320925645219326,-0.0437846823290912,0.3485241941365781,0.1278862579541324,0.2329506090530757
44,0.03132882882882912,-0.0030947759931394514,-0.0443454846448978,0.35156094799134285,0.12985589686527232,0.24288624131675787
